title,author,keywords,campus,avatar_file_name
Teaching to Transgress: Education as the Practice of Freedom,Bell Hooks,Education Learning,Washington - DC,http://ecx.images-amazon.com/images/I/61riW-t0-bL.jpg
Responsible Responsive Design,Scott Jehl,Design,Washington - DC,http://ecx.images-amazon.com/images/I/41Ss3%2BrHSXL.jpg
Responsive Web Design,Ethan Marcotte,Design,Washington - DC,http://ecx.images-amazon.com/images/I/912YCH9dmFL.jpg
Model View Culture: New Writing on Technology Diversity and Culture - Quarterly No. 2,Various,Technology Media Culture,Washington - DC,nil
Model View Culture: New Writing on Technology Diversity and Culture - Quarterly No. 3,Various,Technology Media Culture,Washington - DC,nil
Model View Culture: New Writing on Technology Diversity and Culture - Quarterly No. 4,Various,Technology Media Culture,Washington - DC,nil
Growing Object-Oriented Software Guided by Tests,Steve Freeman / Nat Pryce,Testing Development,Washington - DC,http://ecx.images-amazon.com/images/I/815pmDIU7yL.jpg
Eloquent Ruby,Russ Olsen,Ruby,Washington - DC,http://ecx.images-amazon.com/images/I/41IDuwJXFCL.jpg
Clean Code: A Handbook of Agile Software Craftsmenship,Robert C. Martin,Agile Development,Washington - DC,http://ecx.images-amazon.com/images/I/51oXyW8WQwL.jpg
Practical Object-Oriented Design in Ruby:  An Agile Primer,Sandi Metz,Agile Ruby,Washington - DC,http://ecx.images-amazon.com/images/I/51U-Wi%2BkYvL.jpg
Secrets of the JavaScript Ninja,John Resig / Bear Bibeault,JavaScript,Washington - DC,http://ecx.images-amazon.com/images/I/51UYwOhvQPL.jpg
Learn to Program: The Facets of Ruby Series,Chris Pine,Ruby Programming,Washington - DC,http://ecx.images-amazon.com/images/I/519z2UeoAkL.jpg
Ruby Under a Microscope: An Illustrated Guide to Ruby Internals,Pat Shaughnessy,Ruby,Washington - DC,http://ecx.images-amazon.com/images/I/51U7SLO4UXL.jpg
